From	To
A2APX8	CHEMBL4523103
Q8CH19	CHEMBL3832945
Q8R3L8	CHEMBL5169178
P61079	CHEMBL4105725
Q9EP66	CHEMBL4420
Q62245	CHEMBL4523334
Q8BX10	CHEMBL2331071
P49615	CHEMBL3885555
Q64676	CHEMBL4739858
O09110	CHEMBL3721303
O70577	CHEMBL2073662
P35329	CHEMBL1075279
P28301	CHEMBL4523209
Q9JHG7	CHEMBL2189158
Q05117	CHEMBL3120042
Q9WUI1	CHEMBL4335
P26048	CHEMBL2094133
Q91V01	CHEMBL1255159
O35235	CHEMBL3596084
P06804	CHEMBL4984
Q9ERK7	CHEMBL3301382
Q9ERK7	CHEMBL3883314
Q9ERK7	CHEMBL3885610
Q9ERK7	CHEMBL3885611
P49764	CHEMBL1697670
Q920E5	CHEMBL4523414
Q61205	CHEMBL3259482
Q9QUK6	CHEMBL1795167
P15539	CHEMBL3621020
O55183	CHEMBL4879418
P49891	CHEMBL3052
P58406	CHEMBL3263
Q6PGL7	CHEMBL4879481
O08966	CHEMBL2073664
Q8BGM7	CHEMBL4524004
O70456	CHEMBL1909483
P41593	CHEMBL1075300
P61809	CHEMBL3885555
P05627	CHEMBL5369
P70269	CHEMBL1681627
Q91W96	CHEMBL4879498
Q99104	CHEMBL4295928
Q9D2G2	CHEMBL2176822
P97287	CHEMBL5768
P58308	CHEMBL2434818
Q9QXE2	CHEMBL3124737
P22723	CHEMBL4296058
P22723	CHEMBL4296059
Q61221	CHEMBL6046
Q08857	CHEMBL2176845
P26618	CHEMBL3466
P11152	CHEMBL3309051
P33242	CHEMBL1764943
Q8CA95	CHEMBL1795126
P24547	CHEMBL3169
Q9WTK5	CHEMBL3879845
O08911	CHEMBL2111473
Q9D6F4	CHEMBL2094133
P35375	CHEMBL2181
O08689	CHEMBL3588736
Q99N57	CHEMBL3804748
P49935	CHEMBL1949491
P57787	CHEMBL4802065
O89110	CHEMBL4630806
Q3UEI1	CHEMBL2111373
P63001	CHEMBL5628
Q80YA3	CHEMBL3259505
P06803	CHEMBL3297640
P30548	CHEMBL2668
Q61772	CHEMBL4739689
O54950	CHEMBL4524004
Q50H33	CHEMBL4523317
P10630	CHEMBL3751650
Q8BZL1	CHEMBL4106170
Q8BZL1	CHEMBL4106181
Q8BZL1	CHEMBL4296071
Q8K424	CHEMBL3879838
O09061	CHEMBL4523121
P47811	CHEMBL2336
Q64518	CHEMBL4523338
Q9JIY5	CHEMBL3259508
Q5U431	CHEMBL3341584
O88627	CHEMBL1287613
Q8BTY2	CHEMBL3774291
P52633	CHEMBL2189147
Q8BMT9	CHEMBL1255153
P30728	CHEMBL3441
Q3TCH7	CHEMBL4523312
P26883	CHEMBL4295736
P84096	CHEMBL4523268
P27467	CHEMBL5617
P58681	CHEMBL6085
P42230	CHEMBL5513
Q3UP24	CHEMBL4295841
P07742	CHEMBL3739
Q9Z204	CHEMBL4879526
Q60766	CHEMBL5169158
O35657	CHEMBL4105926
Q8VEB4	CHEMBL3259497
Q80WQ2	CHEMBL2176841
P04756	CHEMBL3038460
P04756	CHEMBL3137264
Q99J39	CHEMBL1255162
Q9EPL8	CHEMBL2176785
O88587	CHEMBL3286068
Q3UXZ9	CHEMBL3707461
Q05921	CHEMBL2687
O54974	CHEMBL4523143
P09690	CHEMBL3038460
P09690	CHEMBL3137264
P35639	CHEMBL2146304
O08756	CHEMBL4295650
Q60597	CHEMBL2176831
Q8VCT3	CHEMBL2836
O55234	CHEMBL1944494
O54798	CHEMBL1075140
Q5XJY4	CHEMBL3259502
P51658	CHEMBL1914270
Q91Y86	CHEMBL1795174
P83093	CHEMBL4296085
P34960	CHEMBL2594
Q8R3I2	CHEMBL1255156
Q6YGZ1	CHEMBL4295872
P21183	CHEMBL4523198
Q6PDS3	CHEMBL4523348
Q6WQJ1	CHEMBL5180
Q9QXY7	CHEMBL2176802
P18337	CHEMBL3162
Q64459	CHEMBL1907984
Q05D44	CHEMBL4879453
Q9QUR6	CHEMBL4935
Q64018	CHEMBL4295860
P01590	CHEMBL3287
P12023	CHEMBL4523942
Q60700	CHEMBL4295854
P10820	CHEMBL5169116
P35821	CHEMBL3336
P06795	CHEMBL3467
P23818	CHEMBL3502
P70699	CHEMBL1667668
O55176	CHEMBL4879417
O88851	CHEMBL3259487
P18654	CHEMBL3297641
Q91XP5	CHEMBL4295912
P52623	CHEMBL2196
Q61542	CHEMBL4523333
P34884	CHEMBL1926491
P17439	CHEMBL2278
Q61191	CHEMBL4879471
Q60855	CHEMBL3784911
P50295	CHEMBL5724
Q8CIP3	CHEMBL3341576
Q61603	CHEMBL3500
Q8VD00	CHEMBL4802011
Q8C6L5	CHEMBL4523383
Q01776	CHEMBL3232679
Q9Z148	CHEMBL2169718
Q922Z0	CHEMBL3616357
Q9EPB4	CHEMBL5169193
Q9ET22	CHEMBL3259501
Q9Z1M0	CHEMBL5183
P51656	CHEMBL1914269
Q8K2I1	CHEMBL2096912
Q9CZN8	CHEMBL3259494
Q04692	CHEMBL4879452
Q920L5	CHEMBL5726
P39688	CHEMBL4517
P16045	CHEMBL4105904
Q9JIS7	CHEMBL2176791
P16110	CHEMBL3668
Q9JMA7	CHEMBL3637781
Q9DBJ1	CHEMBL4523447
P53566	CHEMBL3616358
Q8BK63	CHEMBL5148
O88410	CHEMBL5200
P39655	CHEMBL3225
Q9EPK8	CHEMBL6126
P07724	CHEMBL1075271
O88533	CHEMBL4230
P0C1Q2	CHEMBL4295711
P22933	CHEMBL2094133
Q99JA4	CHEMBL3808269
Q9JI10	CHEMBL4310
P23819	CHEMBL2096617
P11344	CHEMBL5346
P30285	CHEMBL2134
Q6ZPR4	CHEMBL4739694
Q8R146	CHEMBL2189142
Q07813	CHEMBL3414407
Q9WVF6	CHEMBL5537
O35904	CHEMBL2216745
Q91WA3	CHEMBL3832944
Q9JLV6	CHEMBL4523466
Q8R116	CHEMBL3758064
Q69ZF3	CHEMBL5614
P12657	CHEMBL3733
P52624	CHEMBL3718
Q3UFF7	CHEMBL3259491
Q3UFD7	CHEMBL3309101
P16305	CHEMBL2094133
P30561	CHEMBL6099
Q01815	CHEMBL2529
Q8VHL0	CHEMBL2163171
Q9EPT5	CHEMBL2073699
P97714	CHEMBL2130
P00920	CHEMBL3689
Q8K4F5	CHEMBL1795090
Q9EQU3	CHEMBL6128
P35917	CHEMBL4758
Q80Y98	CHEMBL3259495
P97377	CHEMBL4106185
